Study Hours per Week,Attendance Rate,Major,High School GPA,Extracurricular Activities,Part-Time Job,Library Usage per Week,Online Coursework Engagement,Sleep Hours per Night,College GPA
36.35,77,Business,3.35,0,No,2.47,3.11,9.35,2.72
32.62,82.28,Science,2.17,3,Yes,14.87,1.05,4.8,2.25
6.38,67.24,Business,2.94,3,Yes,16.18,14.96,5.25,2.56
25.16,55.06,Business,3.72,1,Yes,19.74,7.17,,2.59
15.94,65.92,Business,3.21,1,No,9.62,10.89,4.36,2.59
2.51,58.41,Arts,3.88,0,No,5.02,1.45,5.72,1.71
16.96,77.81,Engineering,2.52,0,No,1.31,7.57,4.46,2.34
10.35,65.9,Science,2.19,3,No,8.26,7.56,6.86,1.97
33.96,97.9,Engineering,3.25,4,Yes,11.55,1.84,7.44,2.76
1.33,98.29,Arts,2.18,3,No,9.93,5.27,8.5,1.91
38.36,81.01,Business,3.56,4,No,3.26,13.37,9.54,3.55
14.21,80.87,Business,2.51,0,Yes,7.43,10.35,6.63,2.48
14.27,99.27,Arts,3.08,2,Yes,18.36,10.98,7.77,2.85
0.65,94.36,Business,3.62,1,No,9.19,13.17,4.36,2.74
7.41,88.25,Science,3.58,1,No,10.24,4.65,6.85,2.27
16.05,65.68,Science,2.99,1,No,9.44,11.85,,2.6
37.17,68.28,Engineering,3.95,4,Yes,7.69,1.45,7.55,2.7
3.98,60.06,Arts,3,4,Yes,1.21,8.66,6.25,2.03
37.81,,Arts,2.56,3,No,4.58,8.01,4.54,2.86
34.78,99.52,Science,2.6,0,Yes,10,6.47,6.99,2.95
18.17,95.61,Business,3.49,2,No,11.69,3.14,9.51,2.49
13.07,55.92,Arts,2.87,4,No,9.56,6.41,4.44,2.03
9.31,51.26,Arts,2.84,3,No,7.28,12.66,7.19,2.3
24.58,94.93,Business,2.04,3,No,16.07,10.96,6.56,2.8
1.32,76.86,Arts,2.61,0,Yes,13.9,6.61,8.56,1.89
0.62,60.01,Business,3.72,3,Yes,18.91,14.51,4.91,2.51
17.15,,Engineering,3.61,2,Yes,0.55,11.78,5.03,2.95
2.72,82.21,Engineering,3.49,0,No,14.88,0.66,8.3,1.81
10.08,56.1,Business,2.05,1,Yes,1.23,11.26,8.08,2.08
8.85,62.98,Engineering,2.05,2,No,5.82,10.78,7.11,2.08
10.13,,Business,2.62,1,No,18.34,0.74,4.03,1.49
5.24,,Business,2.95,2,No,15.51,13.9,9.13,2.4
0.48,56.62,Arts,3.82,1,Yes,13.24,7.01,9.92,2
4.62,59.66,Business,2.77,3,Yes,7.99,3.59,8,1.64
24.74,84.27,Business,2.58,4,No,1,6.72,9.6,2.55
38.97,52.47,Business,3.14,4,No,5.21,12.51,8.55,3.12
39.61,55.09,Business,3.83,2,No,9.62,3.76,8.1,2.75
16.36,56.71,Business,3.48,1,No,8.46,13.71,6.11,2.76
6.52,65.83,Science,3.71,2,No,9.16,0.97,,1.81
25.55,64.94,Science,2.36,3,No,0.61,1.34,4.19,1.97
19.61,62.75,Science,2.25,4,Yes,12.66,8.99,6.7,2.28
39.58,87.53,Engineering,3.09,1,Yes,9.02,7.65,6.76,3.15
2.61,99.9,Arts,3.39,1,Yes,0.34,10.07,6.32,2.58
31.33,76.7,Engineering,3.91,3,No,18.78,,4.18,2.57
11.54,,Engineering,2.74,4,No,3.95,3.9,5.2,2.21
9.66,69.83,Science,2.69,1,Yes,3.39,10.55,4.82,2.32
26.5,55.33,Science,3.03,4,No,15.1,5.17,4.08,2.32
9.84,70.44,Arts,3.37,0,Yes,6.97,4.57,7.71,2.1
26.63,64.81,Business,3.13,2,Yes,12.23,12.3,4.59,2.92
20.69,74.67,Engineering,3.45,3,No,0.12,11.94,4.89,2.92
16.96,82.85,Arts,2.76,1,Yes,8.63,11.17,4.59,2.69
22.19,73.05,Business,3.72,0,No,0.5,9.41,8.59,2.84
11.48,96.76,Engineering,2.37,1,Yes,4.19,14.32,9.3,2.8
28.26,94.24,Arts,2.63,0,No,3.89,0.32,4.71,2.33
16.59,85.1,Engineering,3.55,0,Yes,19.42,2.29,7.69,2.31
14.42,,Arts,2.67,4,No,6.05,6.9,7.72,2.23
33.15,56.58,Engineering,3.34,3,No,16.79,4.21,5.69,2.51
37,69.85,Business,2.58,1,No,8.42,4.4,7.53,2.56
1.84,85.22,Engineering,2.37,2,Yes,17.24,14.7,6.6,2.47
9.31,64.24,Science,2.6,3,Yes,13.26,0.66,4.65,1.57
13.94,55.2,Engineering,3.77,2,Yes,0.14,0.39,9.75,1.87
32.6,95.39,Business,2.92,1,Yes,2.23,14.03,8.07,3.43
39.42,85.45,Science,2.45,1,Yes,0.63,2.4,9.72,2.61
38.76,80.76,Business,2.64,2,Yes,1.81,0.64,4.91,2.48
36.2,89.62,Business,2.01,1,No,4.41,6.88,8.76,2.76
11.86,91.78,Arts,3.51,0,No,15.71,13.23,6.52,2.97
39.68,74.17,Business,2.45,0,Yes,14.67,4.59,9.58,2.65
9.98,94.06,Business,3.2,1,No,4.89,13.98,8.12,2.92
4.24,95.82,Business,2.05,4,No,7.81,12.98,4.88,2.44
38.04,63.58,Science,3.67,1,No,17.19,4.21,,2.78
9.34,,Engineering,2.37,1,Yes,1.45,6.53,4.75,2.07
27.59,,Science,2.01,2,No,11.3,13.86,8.28,2.88
2.33,76.9,Business,2.6,0,No,2.3,1.85,4.06,1.6
29.23,96.88,Business,3.84,4,Yes,19.88,0.93,6.87,2.72
35.27,65.26,Business,2.53,0,No,8.83,2.83,7.32,2.36
10.9,99.17,Science,3.01,4,No,18.31,3.38,8.87,2.24
15.16,95.11,Business,2.81,3,No,3.06,2.69,6.68,2.21
14.97,72.94,Arts,2.59,3,Yes,19.81,0.48,4.03,1.78
29.95,90.87,Science,3.85,4,No,1.19,10.76,5.31,3.34
9.51,88.45,Arts,3.58,1,Yes,1.18,2.43,4.29,2.18
6.87,83.89,Arts,3.52,0,No,16.46,6.83,9.89,2.35
17.97,65.99,Science,3.05,2,Yes,15.53,1.81,7.83,1.99
12.18,59.82,Business,3.65,3,Yes,4.96,5.48,4.01,2.18
33.57,83.58,Engineering,2.92,2,Yes,4.94,5.96,4.23,2.8
9.51,92.15,Business,2.93,1,Yes,9.45,13.69,5.35,2.8
20.1,50.81,Arts,2.99,4,Yes,18.87,10.58,8.67,2.46
37.7,82.14,Science,2.47,2,No,12.52,13.59,6.39,3.29
25.36,72.14,Arts,3.85,1,Yes,16.65,7.34,7.03,2.81
34.69,94.9,Science,2.52,1,No,17.34,2.54,9.24,2.62
37.61,66.07,Business,2.4,2,Yes,2.69,6.14,9.35,2.61
30.03,73.71,Business,2.49,0,Yes,11.58,8.91,6.57,2.7
27.98,75.74,Science,3.63,3,Yes,19.74,8.12,,2.91
38.72,57.02,Business,3.54,3,Yes,1.91,13.44,5.41,3.32
39.78,85.64,Business,2.85,1,No,8.87,8.89,5.05,3.16
18.07,91.52,Engineering,2.03,3,Yes,15.3,3.85,9.86,2.13
2.83,52.9,Science,3.95,1,No,19.79,14.29,,2.54
11.71,64.57,Arts,2.27,0,No,2.39,2.61,7.94,1.68
6.09,51.9,Business,3.7,4,Yes,8.09,7.15,9.27,2.07
16.7,,Arts,3.56,4,No,15.06,13.31,4.16,3.17
5.25,83.36,Engineering,3.88,4,Yes,11.88,10.65,5.72,2.64
24.16,,Business,3.55,0,No,17.57,8.03,8.32,3.01
15.31,76.57,Arts,2.66,4,Yes,2.04,10.32,6.73,2.5
35.82,90.1,Engineering,2.46,4,No,10.85,6.57,9.66,2.85
38.71,68.72,Science,2.76,2,No,12.18,5.95,6.7,2.74
21.88,67.69,Science,2.41,0,Yes,16.29,9.42,4.76,2.45
10.99,68.91,Science,3.44,4,Yes,16.91,11.06,9.44,2.56
23.69,82.89,Engineering,3.65,2,No,9.48,14.06,4.03,3.27
35.87,,Business,3.29,4,Yes,12.09,12.55,8.55,3.24
16.27,95.02,Arts,2.37,1,Yes,0.16,14.41,4.05,2.91
22.08,99.16,Arts,2.07,4,No,13.78,1.74,6.78,2.18
10.87,51.52,Science,3.16,2,No,0.31,14.84,5.23,2.57
18.22,59.68,Arts,2.93,1,No,12.94,3,9.71,1.98
16.07,55.61,Engineering,2.4,0,Yes,10.12,1.21,6.38,1.64
9.94,52.12,,2.74,0,No,19.08,9.85,4.19,2.11
20.23,61.39,Business,3.08,0,No,3.26,10.1,8.66,2.56
12.42,72.34,Engineering,3.27,4,Yes,7.68,14.61,5.9,2.83
14.92,91.85,Business,2.95,2,Yes,17.15,11.57,7.84,2.8
21,61.09,Engineering,3.94,0,Yes,10.28,5.89,6.43,2.51
30.02,74.7,Engineering,2.09,2,Yes,16.29,9,6.63,2.62
13.34,96.48,Arts,3.32,0,Yes,10.15,9.14,5.58,2.74
36.97,,Engineering,3.82,3,No,13.65,11.48,8.73,3.48
34.49,89.9,Arts,2.47,1,Yes,17.63,8.72,6.78,2.96
1.95,77.55,Business,2.43,4,No,1.1,5.8,4.24,1.82
10.15,99.02,Science,3.52,1,Yes,17.62,10.22,9.67,2.81
17.85,,Business,2.97,1,Yes,3.58,3.6,6.98,2.22
4.19,52.28,Arts,3.98,3,Yes,15.11,5.24,6.92,1.97
13.94,,Engineering,3.18,2,No,11.32,1.07,,1.81
29.6,70.24,Business,3.85,1,No,6.66,12.24,7.81,3.22
27.22,80.06,Arts,2.02,3,No,19.17,1.06,6.41,2.06
24.9,88.6,Business,2.31,2,Yes,16.83,4.48,8.5,2.38
28.42,70.65,Science,3.37,3,No,5.71,13.88,9.26,3.18
8.2,85.5,Science,2.83,2,No,4.05,8.39,6.94,2.33
13.67,,Business,3.67,3,Yes,7.18,3.27,7.92,2.37
27.05,,Science,2.86,1,Yes,6.64,14.89,5.77,3.04
35.17,98.96,Arts,3.43,1,No,3.2,13.21,7.75,3.61
21.75,,Engineering,3.13,3,Yes,18.75,1.02,7.81,2.22
11.31,94.05,Engineering,2.24,1,Yes,17.75,3.45,7.07,2.01
1.21,77.8,Business,3.44,3,Yes,17.5,9.63,4.96,2.31
28.41,87.08,Business,3.41,3,No,9.11,2.98,8.35,2.63
0.32,88.53,Arts,2.23,4,Yes,15.79,8.06,5.92,1.99
14.91,95.41,Engineering,3.12,0,No,7.21,2.49,6.33,2.27
21.22,57.52,Engineering,2.67,1,No,17.21,10.09,,2.45
36.88,77.91,Arts,2.92,3,Yes,18.13,7.97,8.09,2.96
3.58,71.42,Science,2.85,0,Yes,10.77,14.54,4.5,2.49
16.24,96.16,Engineering,2.21,3,Yes,9.52,2.01,7.39,2.05
0.97,55.25,Business,2.32,1,No,10.65,7.96,,1.69
13.7,99.13,Science,2.17,3,No,4.76,4.68,7.87,2.19
24.89,93.77,Engineering,2.38,2,Yes,1.84,9.19,6.37,2.77
11.16,53.69,,3.7,2,Yes,7.74,3.05,8.88,1.94
8.39,74.55,Science,2.05,4,Yes,15.68,13.88,8.68,2.39
4.63,85.88,Engineering,2.86,1,No,13.64,6.57,10,2.13
23.09,86.91,Engineering,3.6,1,No,16.82,6.48,5.8,2.78
27.81,95.32,Arts,2.2,0,No,9.03,11.79,5.05,2.98
26.88,89.99,Business,2.46,3,Yes,2.49,13.61,5.11,3.09
37.95,65.55,Engineering,3.45,1,No,10.45,7.41,7.59,2.96
0.11,74.92,Engineering,3.3,1,Yes,0.79,11.57,6.01,2.35
25.89,85.09,Business,3.13,0,Yes,8.62,2.16,9.44,2.42
24.02,56.92,Arts,2.34,2,Yes,4.03,3.79,4.48,2.01
23.55,59.7,Science,3.59,1,No,16.88,10.39,8.59,2.78
38.51,74.05,Business,2.28,0,Yes,2.58,13.9,6.94,3.2
0.67,64.91,Arts,2.27,2,Yes,9.49,1.76,7.82,1.35
27.86,93.13,Science,3.59,1,No,7.7,2.02,7.53,2.66
32.55,79.31,Business,2.74,2,Yes,16.91,14.63,7.18,3.27
20.39,67.43,Arts,2.63,1,Yes,11.23,1.37,,1.93
13.36,92.44,Engineering,2.56,4,No,9.5,0.64,7.27,1.94
31.63,90.24,Engineering,2.65,3,Yes,11.92,7.98,,2.89
3.89,99.92,Science,2.68,0,No,4.64,3.37,,1.99
17.68,92.37,,3.39,1,Yes,10.43,4.46,9.52,2.51
20.8,70.72,Science,2.48,3,Yes,7,9.27,8.84,2.47
27.76,56.37,Arts,2.65,4,Yes,2.18,5.27,9.09,2.27
3.64,,Engineering,3.55,2,No,15.83,14.93,9.38,2.89
9.11,52.99,Science,3.83,4,No,7.22,3.42,5.22,1.94
16.41,67.51,Business,3.23,3,No,5.58,12.98,6.06,2.76
24.93,,Arts,2.21,0,Yes,0.01,13.13,9.4,3.01
35.48,98.04,Engineering,3.08,3,Yes,0.76,6.56,4.9,3.07
24.75,82.03,Engineering,3.26,2,No,5.04,14.96,6.94,3.25
5.34,84.43,Science,2.63,3,Yes,6.59,4.24,4.63,1.92
39.22,52.12,Business,3.66,4,No,13.98,1.37,4.92,2.51
34.87,75.72,Engineering,3.56,3,No,7.37,8.51,7.53,3.09
20.11,77.34,Science,3.15,3,No,15.93,0.11,6.38,2.07
36.89,67.01,Engineering,2.29,3,No,11.74,7.11,,2.64
21.66,53.43,Arts,3.39,3,Yes,7.01,12.55,7.05,2.76
36.93,61.45,Engineering,3.79,2,Yes,3.15,6.3,,2.91
33.2,67.9,Science,2.5,3,No,0.03,3.06,7,2.34
38.73,71.76,Science,3.92,0,Yes,7.66,3.83,6.05,2.92
36.79,79.55,Science,3.54,2,No,8.13,13.71,5.16,3.51
1.44,,,2.6,2,Yes,7.28,9.93,6.79,2.21
6.99,65.88,Business,3.23,3,Yes,16.05,2.42,,1.8
15.57,66.45,Arts,2.62,4,Yes,1.91,6.95,8.89,2.17
38.09,50.98,Engineering,2.2,3,Yes,2.3,9.22,4.09,2.63
12,52.04,Business,3.65,2,No,4.67,7.58,7.42,2.24
6.42,,Engineering,3.33,1,Yes,10.27,11.78,7.71,2.41
35.45,,Engineering,3.23,0,No,14.52,0.09,9.93,2.57
17.86,81.42,Science,2.28,4,No,18.07,4.22,9.31,2.11
36.32,88.49,Science,2.75,4,No,5.34,8.62,,3.06
6.41,88.45,Engineering,3.75,4,Yes,2.56,8.08,,2.52
26.44,92.83,Science,2.33,2,No,10.18,1.56,4.06,2.28
17.61,,Engineering,2.1,4,No,5.99,2.63,5.44,2
3.06,,Engineering,2.38,4,No,19.69,11.29,9.08,2.41
27.86,94.94,Science,2.5,1,Yes,0.8,8.02,9.84,2.81
9.9,,Business,3.57,1,Yes,3.82,9.6,8.21,2.57
1.58,79.41,Engineering,3.3,1,No,15.07,12.25,7.62,2.48
2.4,51.71,Business,2.03,4,Yes,7.73,8.76,7.64,1.67
2.44,99.93,Business,2.03,4,No,11.24,4.71,7.9,1.88
36.31,56.58,Science,3.13,3,No,16.31,7.85,4.01,2.78
29.6,87.02,Business,3.27,2,Yes,13.34,1.96,6.22,2.56
35.92,91.05,Business,2.25,3,Yes,12.07,4.08,,2.64
26.9,68.65,Business,3.22,2,No,13.64,9.83,9.87,2.82
21.16,59.84,Business,2.48,3,Yes,1.28,0.62,4,1.79
12.18,54.94,Engineering,2.67,1,No,1.96,0.01,8.42,1.52
39.92,87.43,Science,2.82,4,No,12.15,13.31,6.43,3.46
14.49,,Science,2.23,1,No,7.36,14.46,4.39,2.61
18.83,85.69,Science,3.93,3,Yes,19.91,13.58,6.17,3.22
15.13,95.77,Engineering,3.95,2,Yes,16.41,3.23,4.77,2.54
39.18,,Engineering,2.89,0,No,18.53,11.32,4.22,3.03
6.99,95.96,Arts,2.51,0,No,3.61,6.85,8.1,2.22
13.12,70.58,Engineering,3.92,4,No,12.49,1.06,4.15,2.08
27.21,65.26,Engineering,3.64,4,No,0.56,11.92,4.07,3.04
2.53,97.15,Business,3.45,3,No,14.7,12.12,6.56,2.71
24.29,99.53,Engineering,2.92,2,No,0.84,10.83,4.78,3.05
19.11,59.94,Arts,2.82,2,Yes,13.48,14.95,6.68,2.78
11.36,82.84,Arts,3.56,1,Yes,4.25,14.88,6.2,2.99
9.54,55.32,,3.04,3,No,11.82,2.69,4.61,1.73
20.58,82.55,Engineering,3.32,1,No,5.52,11.93,7.84,2.97
14.72,91.37,Engineering,3.13,3,No,0.45,9.9,7.9,2.72
18.26,,Science,3.42,3,No,13.71,10.9,7.87,2.88
13.5,70.87,Engineering,2.19,4,Yes,8.97,14.86,9.19,2.58
38.82,69.15,Business,2.76,4,No,14.48,12.55,4.04,3.19
5.34,69.66,Science,2.33,2,Yes,1.13,5.87,4.17,1.8
3.87,79.49,Engineering,2.48,2,No,10.6,14.06,7.14,2.45
13.74,94.08,Science,2.4,4,Yes,1.09,13.13,6.8,2.76
23.64,96.45,Arts,3.01,0,No,2.88,10.59,9.94,3.01
26.37,52.68,Business,2.04,2,No,15.69,14.05,6.15,2.63
15.89,59.08,Arts,3.93,1,No,4.57,6.93,6.33,2.43
39.97,55.61,Engineering,3.04,0,No,1.87,10.7,9.01,3.03
14.08,59.67,Arts,2.11,1,No,2.84,0.06,,1.48
28.86,67.33,Arts,3.36,3,No,2.83,8.53,4.43,2.8
25.5,75.33,Science,2.54,3,Yes,16.88,10.86,4.35,2.75
32.52,81.47,Business,2.21,3,No,11.8,5.75,7.17,2.56
39.05,86.61,Business,3.66,2,No,15.85,13.02,6.38,3.63
35.59,94.51,Arts,2.4,2,No,5.14,7.28,8.41,2.92
30.58,99.45,Engineering,2.21,3,Yes,12.53,4.24,7.77,2.59
27.93,83.14,Engineering,2.11,2,No,17.98,8.24,4,2.61
13.42,92.27,Arts,3.46,2,Yes,10.68,13.58,4.1,3.03
5.91,88.9,Engineering,3.31,1,No,17.41,10.24,9.04,2.55
2.51,65.38,Arts,2.02,4,Yes,4.36,14.25,4.99,2.17
9.68,93.78,Business,2.44,3,Yes,19.34,6.71,7.42,2.24
17.29,52.14,Engineering,3.41,0,Yes,1.59,9.88,9.64,2.46
20.88,50.02,Science,2.3,4,No,15.22,9.43,9.8,2.23
30.92,63.69,Arts,3.15,4,Yes,4.03,3.59,9.07,2.44
38.35,73.1,Engineering,2.43,1,Yes,2.34,11.17,9.33,3.04
4.69,81.92,Science,2.9,3,Yes,11.18,1.02,9.43,1.73
4.28,,Business,3.73,0,Yes,6.34,8.63,4.46,2.17
23.59,83.65,Arts,2.61,0,Yes,4.45,2.67,9.14,2.26
29.82,90.09,Engineering,3.37,1,No,8.78,2.83,6.49,2.68
33.93,,Business,2.88,4,Yes,19.77,14.7,4.26,3.14
37.43,70.76,,2.19,1,No,12.65,5.77,7.2,2.58
39.34,76,Science,2.72,0,No,5.57,7.79,4.7,2.94
15.99,72.59,Arts,3.68,4,No,19.72,9.98,4.47,2.71
15.21,89.99,Business,3.95,4,No,5.58,7.47,6.81,2.77
5.91,98.03,Science,3.69,1,Yes,14.39,10.89,,2.78
27.4,89.95,Science,2.32,3,No,5.27,0.39,9.29,2.19
26.27,53.9,Business,2.69,2,No,15.49,10.15,5.89,2.54
34.48,90.25,Engineering,3.66,4,Yes,12.88,4.87,8.94,3
3.89,53.33,Science,3.11,4,Yes,11.45,13.19,4.03,2.29
19.91,61.8,Science,3.55,2,No,9.18,2.15,9.7,2.15
23.24,57.65,Engineering,3.56,0,Yes,4.86,0.46,4.33,2.08
9.66,59.88,Science,2.14,2,No,12.19,0.91,5.58,1.44
6.76,76.42,Engineering,2.68,1,No,17.49,7.83,4.15,2.13
34.38,83.58,Business,2.96,4,Yes,0.63,3.23,9.76,2.65
2.34,,Business,3.89,4,Yes,14.65,11.3,4.31,2.52
18.82,97.98,Engineering,3.8,3,Yes,17.6,0.83,6.09,2.46
4.63,62.01,Science,2.85,0,Yes,12.34,3.52,,1.68
18.28,88.16,Arts,2.19,1,No,5.17,12.45,5.93,2.72
39.2,93.51,Science,2.81,2,No,7.03,0.68,4.04,2.66
16.95,78.1,Arts,3.07,0,Yes,14.98,11.81,5.44,2.76
34.28,72.81,Science,3.81,0,Yes,7.34,1.68,,2.65
4.69,79.81,Business,2.59,1,No,0.16,12.64,6.27,2.41
10.85,71.44,Engineering,2.62,3,No,2.11,11.76,8.92,2.42
16.15,77.76,Science,3.25,1,No,5.71,3.28,8.43,2.21
15.99,70.85,Engineering,3.01,1,Yes,7.86,6.03,,2.26
26.86,70.02,Arts,2.39,3,Yes,7.29,6.87,,2.43
13.79,84.77,Science,2.29,0,Yes,16.13,5.91,9.89,2.16
28.55,54.64,Arts,2.98,0,Yes,4.43,3.17,7.12,2.22
25.57,58.33,Science,3.56,2,No,8.21,3.39,5.56,2.34
15.97,92.56,Engineering,3.56,3,Yes,16.28,10.36,7.61,2.91
17.27,88.55,Engineering,3.95,0,No,15.87,2.27,8.24,2.46
24.58,,Science,2.77,0,No,4.1,4.23,6.81,2.23
2.8,68.86,Arts,2.78,3,Yes,7.28,0.95,7.85,1.52
32.9,96.3,Science,2,4,Yes,3.13,3.27,4.65,2.5
26.14,,Science,3.66,0,Yes,1.8,0.57,9.24,2.52
29.05,80.72,Science,3.29,3,No,11.08,10.48,,3.05
21.48,61.07,Arts,3.54,4,Yes,6.39,6.07,8.64,2.44
4.42,52.21,Business,2.94,4,No,10.27,5.67,4.68,1.75
16.2,71.56,Science,3.84,0,No,11.76,7.28,7.12,2.57
16.21,83.63,Business,2.06,2,Yes,12.12,3.92,8.16,2.02
12.84,91.42,Engineering,2.23,1,Yes,18.82,5.41,7.13,2.15
1.2,,,2.75,2,Yes,4.69,8.86,4.6,2.23
29.49,51.64,Science,2.17,2,No,17.96,3.37,4.36,2.02
4.39,62.21,Engineering,2.18,0,Yes,1.03,6.93,,1.74
24.25,66.95,Business,3.13,3,No,0.61,8.62,8.78,2.63
28.13,59.44,Science,2.43,3,Yes,2.18,2.07,9.98,2.04
25.39,90.15,Arts,3.25,4,No,12.87,4.6,,2.66
38.37,88.37,Business,3.86,2,No,10.61,8.28,5.38,3.36
4.13,75.84,Business,3.65,1,No,3.24,6.02,6.43,2.18
34.69,99.15,Science,2.5,4,Yes,2.96,10.74,4.64,3.2
1.17,57.2,Arts,2.18,1,Yes,10.59,3.47,6.48,1.38
21.4,,Business,3.9,4,No,19.18,7.06,9.04,2.93
16.17,55.82,Science,3.99,3,No,3.65,12.32,6.34,2.78
20.97,58.16,Business,2.75,0,No,5.18,2.14,4.31,1.94
14.6,84.81,Science,2.92,1,No,2.41,13.42,5,2.84
7.62,55.48,Science,2.29,0,No,11.89,6.71,8.02,1.77
0.76,78.29,Arts,3.42,4,No,18.54,7.2,8.15,2.14
20.73,71.01,Engineering,2.84,4,No,4.76,9.54,5.19,2.57
33.71,,Business,3.61,0,No,9.45,8.13,8.86,3.15
14.93,,Business,3.15,3,No,18.15,12.35,5.69,2.93
8.91,88.49,Business,2.09,1,Yes,14.17,2.8,7.33,1.82
3.22,92.48,Business,2.67,0,Yes,10.57,1.95,5.85,1.8
3.41,51.65,Business,3.62,4,Yes,12.79,3.95,8.16,1.77
8.86,65.51,Business,3.38,1,Yes,14.62,14.97,6.25,2.72
4,75.77,Science,3.27,1,No,14.57,1.48,8.57,1.77
10.6,70.8,Science,3.35,2,Yes,9.7,7.96,6.9,2.34
2.65,61.56,Science,3.21,1,Yes,5.63,11.6,,2.26
2.62,65.39,Engineering,3.28,3,Yes,4.12,12.49,9.56,2.37
34.25,97.27,Business,3.24,0,Yes,18.37,14.36,6.61,3.6
6.48,64.71,Science,3.07,3,No,1.16,14.93,7.3,2.57
22.39,67.7,Arts,3.52,2,Yes,6.74,8.28,5.13,2.67
30.94,50.19,Business,2.74,3,No,13.8,3.61,8.16,2.2
18.26,92.25,Business,2.95,1,No,12,,5.28,2.64
6.13,57.74,Engineering,2.8,1,Yes,8.66,11.04,8.14,2.17
7.98,60.21,Arts,2.42,1,No,2.08,7.15,9.54,1.88
17.32,62.76,Arts,2.64,0,No,2.79,4.08,9.65,1.99
21.13,94.23,Engineering,2.11,4,No,13.93,12.33,,2.82
13.98,60.32,Engineering,2.65,4,Yes,9.67,12.44,7.23,2.44
31.26,89.88,Science,2.78,2,No,6.79,8.26,9.02,2.93
30.04,90.4,Engineering,2.19,3,Yes,7.5,9.02,6.75,2.8
37.09,96.35,,2.44,4,No,8.57,7.7,6.26,3.01
1.16,,Arts,2.5,0,Yes,13.66,11.73,8.21,1.99
35.83,60.86,Science,2.45,1,Yes,12.02,13.31,5.24,3
15.7,87.14,Engineering,2.7,2,Yes,1.41,0.03,4.45,1.94
35.13,59.8,Arts,2.29,1,Yes,3.15,14.6,6.2,3.02
27.63,64.32,Engineering,3.46,0,Yes,1.41,5.16,6.04,2.54
39.49,58.34,Science,2.69,1,No,0.69,5.99,4.72,2.64
30.37,58.63,Business,2.24,0,Yes,15.52,5.52,9.13,2.27
14.58,74.08,Arts,3.19,3,No,17.02,12.67,8.01,2.75
20.04,55.48,Engineering,2.36,0,Yes,8.32,11.05,4.15,2.38
15.06,66.08,Science,2.12,3,Yes,19.38,2.68,7.24,1.75
14.6,71.33,Business,2.33,3,No,17.27,6.12,4.92,2.07
10.44,51.23,Engineering,2.84,3,Yes,17.21,0.04,7.07,1.49
19.84,69.42,Business,3.39,1,No,7.34,12.05,,2.84
27.27,54.71,Business,3.28,1,No,19.09,3.54,6.48,2.28
11.09,74.68,Science,2.01,1,Yes,14.98,1.25,7.58,1.61
20.98,91.29,Arts,3.59,2,Yes,7.07,9.91,7.28,3
4.7,90.92,Arts,2.67,2,No,17.78,3.29,7.47,1.91
6.39,54.02,Engineering,3.36,4,No,0.08,8.24,6.87,2.09
1.87,80.06,Arts,2.07,2,Yes,11.43,2.42,5,1.53
38.83,91.73,Engineering,2.79,1,No,10.4,11.85,5.45,3.38
0.15,61.9,Engineering,2.04,2,No,1.64,14.73,9.36,2.11
7.14,88.1,Arts,3.63,2,Yes,17.25,1.61,8.43,2.07
24.51,94.54,Engineering,2.37,2,Yes,5.63,12.62,9.9,2.99
3.25,,,3.35,4,No,7.53,7.35,4.32,2.31
35.28,55.37,Engineering,2.55,3,Yes,9.5,0.77,5.9,2.12
28.78,50.45,Arts,2.27,1,No,16.34,7.82,9.76,2.31
38.66,59.59,Business,3.86,1,Yes,11.9,7.23,6.64,3.01
20.31,63.52,Science,3.19,4,No,11.28,13.37,7.63,2.83
12.02,80.81,Engineering,3.78,0,No,7.25,5.11,7.42,2.39
21.98,69.21,Engineering,2.61,3,No,5.59,11.36,4.84,2.65
37.23,85.17,Engineering,3.66,4,Yes,9.56,1.98,8.39,2.83
20.83,67.65,Arts,3.88,1,Yes,5.11,5.83,4.35,2.56
10.69,57.72,,2.79,2,No,6.79,8.09,7.23,2.08
35.1,65.63,Science,3.81,4,Yes,8.81,2.72,7.32,2.67
14.88,94.22,Arts,2.67,0,Yes,16.87,2.97,5.21,2.18
0.06,97.93,Arts,2.65,4,Yes,18.61,3.68,8.5,1.89
9.91,60.38,Arts,3.99,0,No,16.59,11.14,9.38,2.59
12.73,89.42,Science,3.9,4,No,10.51,14.15,9.87,3.13
34.35,,Arts,2.46,0,No,14.23,1.91,4.16,2.24
18.34,94.36,,3.67,4,No,6.7,8.22,5.86,2.87
17.78,58.28,,2.68,0,Yes,9.18,2.21,9.55,1.84
13.44,83.3,Science,3.96,0,Yes,18.81,0.81,4.3,2.21
35.23,54.21,Science,3.7,4,No,7.1,0.59,5.63,2.39
37.8,98.69,Science,3.81,1,No,3.46,6.43,7.2,3.31
39.68,,Science,3.15,4,No,9.44,6.38,8.44,3.06
15.07,92.09,Arts,2.59,1,Yes,13.05,9.96,5.37,2.61
38.65,,Science,2.4,0,Yes,2.53,5.85,5.8,2.74
31.68,73.84,Business,3.06,4,No,2.44,3.45,5.17,2.53
27.03,81.09,Business,3.34,0,No,6.07,1.44,6.66,2.42
9.8,76.44,Engineering,3.48,1,No,18.15,8.57,,2.45
